t    H   V   K   T   P
0.575  -1744.32 -1896.06   151.743   35.4913 0
0.58  -1744.32 -1896.06   151.739   35.4904 0
0.585  -1744.32 -1896.08   151.757   35.4947 0
0.59  -1744.32 -1896.12   151.797   35.504 0
0.595  -1744.32 -1896.18   151.856   35.5177 0
0.6  -1744.32 -1896.25   151.93   35.5351 0
0.605  -1744.32 -1896.34   152.017   35.5554 0
0.61  -1744.32 -1896.43   152.112   35.5776 0
0.615  -1744.32 -1896.53   152.21   35.6006 0
0.62  -1744.32 -1896.63   152.308   35.6235 0
0.625  -1744.32 -1896.72   152.401   35.6453 0
0.63  -1744.32 -1896.81   152.486   35.665 0
0.635  -1744.32 -1896.88   152.558   35.6819 0
0.64  -1744.32 -1896.94   152.615   35.6953 0
0.645  -1744.32 -1896.98   152.656   35.7048 0
0.65  -1744.32 -1897   152.678   35.7101 0
0.655  -1744.32 -1897   152.682   35.711 0
0.66  -1744.32 -1896.99   152.668   35.7077 0
0.665  -1744.32 -1896.96   152.637   35.7005 0
0.67  -1744.32 -1896.91   152.592   35.6898 0
0.675  -1744.32 -1896.86   152.534   35.6763 0
0.68  -1744.32 -1896.79   152.467   35.6607 0
0.685  -1744.32 -1896.72   152.394   35.6437 0
0.69  -1744.32 -1896.64   152.319   35.626 0
0.695  -1744.32 -1896.57   152.244   35.6085 0
0.7  -1744.32 -1896.49   152.172   35.5916 0
0.705  -1744.32 -1896.43   152.104   35.5758 0
0.71  -1744.32 -1896.36   152.042   35.5614 0
0.715  -1744.32 -1896.31   151.987   35.5484 0
0.72  -1744.32 -1896.26   151.938   35.5368 0
0.725  -1744.32 -1896.22   151.893   35.5264 0
0.73  -1744.32 -1896.17   151.852   35.5168 0
0.735  -1744.32 -1896.13   151.812   35.5076 0
0.74  -1744.32 -1896.09   151.773   35.4983 0
0.745  -1744.32 -1896.05   151.731   35.4885 0
0.75  -1744.32 -1896.01   151.685   35.4779 0
0.755  -1744.32 -1895.96   151.635   35.466 0
0.76  -1744.32 -1895.9   151.578   35.4527 0
0.765  -1744.32 -1895.84   151.514   35.4378 0
0.77  -1744.32 -1895.77   151.444   35.4215 0
0.775  -1744.32 -1895.69   151.369   35.4039 0
0.78  -1744.32 -1895.61   151.289   35.3852 0
0.785  -1744.32 -1895.53   151.208   35.3661 0
0.79  -1744.32 -1895.45   151.126   35.3471 0
0.795  -1744.32 -1895.37   151.049   35.329 0
0.8  -1744.32 -1895.3   150.979   35.3126 0
0.805  -1744.32 -1895.24   150.92   35.2989 0
0.81  -1744.32 -1895.2   150.878   35.289 0
0.815  -1744.32 -1895.18   150.857   35.284 0
0.82  -1744.32 -1895.18   150.861   35.285 0
0.825  -1744.32 -1895.22   150.895   35.293 0
0.83  -1744.32 -1895.29   150.964   35.3092 0
0.835  -1744.32 -1895.39   151.072   35.3344 0
0.84  -1744.32 -1895.54   151.222   35.3694 0
0.845  -1744.32 -1895.74   151.416   35.4149 0
0.85  -1744.32 -1895.98   151.658   35.4714 0
0.855  -1744.32 -1896.27   151.946   35.5389 0
0.86  -1744.32 -1896.6   152.282   35.6175 0
0.865  -1744.32 -1896.99   152.665   35.7069 0
0.87  -1744.32 -1897.41   153.091   35.8066 0
0.875  -1744.32 -1897.88   153.558   35.9157 0
0.88  -1744.32 -1898.38   154.061   36.0334 0
0.885  -1744.32 -1898.92   154.596   36.1585 0
0.89  -1744.32 -1899.48   155.156   36.2896 0
0.895  -1744.32 -1900.06   155.736   36.4252 0
0.9  -1744.32 -1900.65   156.329   36.5638 0
0.905  -1744.32 -1901.25   156.927   36.7038 0
0.91  -1744.32 -1901.85   157.523   36.8433 0
0.915  -1744.32 -1902.43   158.112   36.9809 0
0.92  -1744.32 -1903.01   158.684   37.1147 0
0.925  -1744.32 -1903.56   159.234   37.2433 0
0.93  -1744.32 -1904.08   159.755   37.3652 0
0.935  -1744.32 -1904.56   160.241   37.4788 0
0.94  -1744.32 -1905.01   160.686   37.5831 0
0.945  -1744.32 -1905.41   161.087   37.6769 0
0.95  -1744.32 -1905.76   161.439   37.7591 0
0.955  -1744.32 -1906.06   161.738   37.829 0
0.96  -1744.32 -1906.3   161.981   37.886 0
0.965  -1744.32 -1906.49   162.167   37.9295 0
0.97  -1744.32 -1906.62   162.294   37.9592 0
0.975  -1744.32 -1906.68   162.362   37.975 0
0.98  -1744.32 -1906.69   162.37   37.9769 0
0.985  -1744.32 -1906.64   162.32   37.9652 0
0.99  -1744.32 -1906.54   162.213   37.9402 0
0.995  -1744.32 -1906.37   162.052   37.9025 0
